occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
0,2,17.0,6,5,5,1,16,72,4,6
0,2,18.0,7,6,21,0,1,35,1,0
0,2,18.0,7,6,11,0,5,12,3,0
0,2,27.0,136,0,18,0,10,47,3,15
0,0,1.0,8,5,22,0,1,16,3,7
0,0,1.0,8,5,20,1,1,16,4,7
0,0,1.0,8,5,8,0,14,97,2,7
0,6,16.0,38,5,0,0,10,12,0,2
0,6,16.0,38,5,15,0,3,30,3,2
0,6,25.0,39,3,6,1,4,4,0,13
0,2,19.0,137,3,16,3,4,4,2,10
0,6,25.0,39,3,3,0,1,11,1,13
0,10,15.0,60,6,11,1,13,69,4,1
0,10,15.0,60,6,14,2,12,100,3,1
0,10,26.0,61,2,2,0,10,52,0,3
0,10,26.0,61,2,16,1,6,116,4,3
0,1,8.0,62,1,20,0,5,6,1,8
0,1,18.0,82,5,16,1,1,67,0,0
0,1,24.0,64,4,12,0,2,86,3,14
0,1,17.0,63,4,8,3,15,51,4,6
0,8,1.0,66,5,5,0,14,24,1,7
0,8,1.0,66,5,9,0,13,21,1,7
0,8,9.0,124,6,7,1,11,15,0,12
0,8,9.0,124,6,4,0,8,9,1,12
0,8,9.0,124,6,15,1,8,41,1,12
0,4,7.0,133,6,15,0,0,31,3,11
0,4,10.0,79,1,10,2,13,48,3,4
0,4,10.0,79,1,9,0,5,6,3,4
0,4,16.0,25,0,23,2,13,29,3,2
0,4,16.0,25,0,4,0,8,9,1,2
0,2,10.0,28,5,8,2,8,27,1,4
0,3,10.0,4,0,12,0,4,75,3,4
0,3,19.0,138,2,19,3,3,30,0,10
0,4,30.0,139,0,22,0,1,11,2,19
0,2,29.0,140,2,17,3,6,7,0,16
0,4,2.0,141,0,1,2,1,1,3,22
0,4,19.0,142,4,20,0,11,117,0,10
0,4,25.0,20,2,13,0,14,34,4,13
0,2,2.0,143,4,19,0,8,118,3,22
0,2,26.0,3,3,1,0,14,25,1,3
0,2,26.0,3,3,13,2,10,22,3,3
0,0,2.0,47,6,16,1,12,83,4,22
0,0,2.0,47,6,16,2,9,10,0,22
0,0,2.0,47,6,17,2,3,30,1,22
0,8,1.0,66,5,17,0,15,119,3,7
0,4,1.0,144,3,16,0,15,46,0,7
0,3,9.0,44,3,20,1,1,59,4,12
0,1,9.0,50,2,20,3,1,67,3,12
0,0,17.0,12,3,8,0,9,57,0,6
0,2,24.0,22,5,11,1,10,47,1,14
0,6,30.0,145,5,12,0,6,7,3,19
0,8,25.0,86,0,8,0,8,27,3,13
0,8,27.0,78,2,15,2,1,1,3,15
0,4,1.0,144,3,17,0,0,12,3,7
0,2,26.0,3,3,20,0,8,27,4,3
1,5,19.0,146,4,18,3,10,47,3,10
1,11,14.0,147,5,17,0,12,61,4,5
